# https://iopscience.iop.org/article/10.1086/509715/pdf - Torres 2007
# https://iopscience.iop.org/article/10.1086/379281/pdf - Hatzes et al. (2003)

# Index definitions:
# 0 - McDonald I (Hatzes+03)
# 1 - Various zero-point-corrected instruments (Torres+07)
# 2 - CFHT (Walker+92)
# 3 - McDonald II (Hatzes+03)
# 4 - McDonald III (Hatzes+03)
# 5 - Various zero-point-corrected instruments (Griffin+02)


Epoch[JD]    RV[m/s]      RV_err[m/s] InstrumentID

2447368.96570	550.00          19.00	0
2456933.83984455   13527.6     5.4  4
2456933.84127272   13536.6     5.0  4
2456933.84266142   13531.7     5.3  4
2456937.84305536   13528.6     5.4  4
2456937.84486028   13532.7     5.5  4
2456937.84661461   13527.7     5.2  4
2456971.70009984   13550.2     5.5  4
2456971.70197440   13545.7     5.2  4
2456971.70385485   13556.7     5.3  4
2457034.60508268   13550.7     5.3  4
2457034.60674640   13548.8     5.2  4
2457034.60850814   13546.7     5.1  4
2457242.97680329   13591.5     4.7  4
2457242.97840903   13593.7     4.9  4
2457242.98022959   13596.0     5.0  4
2457402.59493385   13673.4     5.1  4
2457402.59689779   13674.6     5.2  4
2457402.59915893   13676.1     5.3  4
2457609.93177367   13706.7     5.7  4
2457734.56575417   13696.5     5.8  4
2457734.56736965   13692.4     5.0  4
2457734.56897160   13699.1     5.6  4
2457738.65083167   13702.6     5.4  4
2457738.65232250   13706.1     5.6  4
2457738.65379412   13707.5     5.6  4
2457772.67403622   13694.7     5.2  4
2457772.67545909   13690.8     5.0  4
2457772.67688785   13686.1     4.8  4
2457954.95076687   13704.3     5.3  4
2457954.95326684   13699.1     5.5  4
2457954.95478726   13692.4     5.4  4
2458007.81122219   13704.0     5.2  4
2458007.81276160   13702.6     5.0  4
2458007.81426537   13702.3     5.1  4
2458010.79363073   13702.3     4.9  4
2458067.68408354   13759.5     7.0  4
2458067.68572464   13753.9     6.7  4
2458067.68738785   13742.8     6.2  4
2458097.56102366   13746.5     4.9  4
2458097.56244239   13750.8     5.3  4
2458097.56385938   13746.0     5.1  4
2458322.95766951   13800.3     5.2  4
2458322.95936957   13798.3     5.0  4
2458322.96107345   13799.8     5.1  4
2458457.65973513   13826.0     5.0  4
2458457.66153638   13826.1     5.1  4
2458457.66332595   13837.1     5.4  4
2458465.64194898   13833.0     5.0  4
2458465.64386423   13836.8     5.1  4
2458465.64576999   13835.2     5.4  4
2458494.57662918   13839.8     5.1  4
2458494.57895757   13837.4     5.4  4
2458684.95452616   13808.2     5.1  4
2458684.95636905   13807.0     5.3  4
2458684.95815245   13811.0     5.0  4
2458779.82052941   13822.5     5.7  4
2458779.82255735   13827.4     5.6  4
2458856.62909874   13829.2     5.5  4
2458856.63086153   13825.8     5.3  4
2458856.63264793   13825.7     5.4  4
2459091.88748954   13878.5     5.7  4
2459091.88909528   13878.3     6.4  4
2459091.89077845   13888.0     5.6  4
2459114.83499811   13901.3     5.8  4
2459114.83654261   13897.1     5.2  4
2459114.83808514   13893.4     5.7  4
2459133.85893765   13892.8     6.3  4
2459133.86080657   13887.4     6.9  4
2459133.86267572   13890.9     6.9  4
2459135.78980159   13897.5     5.5  4
2459135.79159458   13901.8     5.5  4
2459135.79347113   13905.8     5.1  4
2459144.66091810   13924.7     5.6  4
2459144.66270599   13934.3     5.7  4
2459192.72383294   13934.7     5.6  4
2459192.72536950   13932.8     5.6  4
2459192.72693950   13927.3     5.4  4
